rn,unix_tstamp,synth_browser_category,synth_page_url,synth_geo_city
75,1556688335,1,https://www.ad.nl/rotterdam/woning-beschoten-in-rotterdam-kralingen~a1851e7e/,Amsterdam
76,1556688477,1,https://www.ad.nl/tech/waarde-van-bitcoin-boven-de-7000-dollar~ad970df0/,Utrecht
77,1556688648,4,https://www.ad.nl/show/jan-dulles-ontroert-met-you-let-me-walk-alone-in-beste-zangers~a83b024e/,Antwerp
78,1556688759,2,https://www.ad.nl/wetenschap/de-mensheid-kan-niet-naar-mars-verhuizen~a155c0412/,Schiedam
79,1556688883,4,https://www.ad.nl/politiek/botsing-tussen-kamerleden-bij-aanbieding-anti-homopetitie~afe36d37/,Amsterdam
80,1556688891,4,https://www.ad.nl/binnenland/agent-beschrijft-vondst-zwaar-verwaarloosde-jochies-in-flat-ze-vertoonden-dierlijk-gedrag~a22e3023/,Schiedam
81,1556689042,4,https://www.ad.nl/binnenland/treinverkeer-en-ov-grote-steden-plat-op-28-mei~a8530fd4/,Amersfoort
82,1556689071,2,https://www.ad.nl/tech/poetin-ondertekent-wet-voor-onafhankelijk-russisch-internet~a7ea4831/,Hagestein
83,1556689199,1,https://www.ad.nl/den-haag/schrik-en-bezorgdheid-na-vondst-dode-vrouw-in-scheveningse-bosjes-slachtoffer-liet-honden-uit-br~a3232624/,Hazerswoude-Rijndijk
84,1556689365,1,https://www.ad.nl/rotterdam/ik-heb-een-porsche-onder-mijn-kont-gehad-en-een-rolex-om-mijn-pols~aae4b735/,Den Helder
85,1556689426,3,https://www.ad.nl/binnenland/slachtoffer-schaarsbergen-voor-mij-was-het-oorlog-op-de-kazerne~a5b0c4ba/,Prinsenbeek
86,1556689500,1,https://www.ad.nl/den-haag/oplichter-moet-toch-cel-in-voor-beroven-van-twaalf-hoogbejaarde-vrouwen~a679da12/,Rotterdam
87,1556689637,4,https://www.ad.nl/rotterdam/handweigering-zet-kwaad-bloed-rotterdamse-gele-hesjes-voortaan-in-het-oranje~af0059e2/,Haastrecht
88,1556689803,3,https://www.ad.nl/buitenland/duif-vliegt-in-bocholt-12-kilometer-te-hard-en-wordt-geflitst~aaab41a2/,Nuenen
89,1556689848,3,https://www.ad.nl/binnenland/te-dikke-man-mag-weer-niet-in-beeld-komen-tijdens-dodenherdenking~a9cd00d8/,Amsterdam
90,1556689904,4,https://www.ad.nl/rotterdam/aangereden-fietsster-helma-van-lit-68-zoekt-heldin-die-bij-haar-bleef~ad4f8686/,Steenbergen
91,1556690095,1,https://www.ad.nl/buitenland/terroristen-vallen-pakistaans-vijfsterrenhotel-binnen-willen-chinezen-doden~aa142d9e/,Veenendaal
92,1556690110,4,https://www.ad.nl/utrecht/utrecht-vandaag-op-slot-veel-straten-afgesloten-voor-de-marathon~a24cfab1/,Oirsbeek
93,1556690227,1,https://www.ad.nl/binnenland/politie-pakt-mogelijke-brandstichter-heidebrand-veluwe-op-na-achtervolging~a347bc2c/,Swifterbant
94,1556690256,4,https://www.ad.nl/tennis/live-bertens-pakt-eerste-set-en-voorsprong-in-tweede-set~a9fb5ddc/,The Hague
95,1556690273,4,https://www.ad.nl/binnenland/koerierster-des-doods-al-zeventig-jaar-spoorloos~af37b9dd/,Hoogvliet
96,1556690340,3,https://www.ad.nl/bergen-op-zoom/ombouw-emte-naar-coop-in-ossendrecht-start-vandaag-ondanks-bezwaar~a34e03c3/,Lekkerkerk
97,1556690380,2,https://www.ad.nl/koken-en-eten/bianca-strijdt-tegen-vage-menukaarten-zuurgraad-dat-klinkt-niet-lekker~aad6c2da/,Amsterdam
98,1556690382,3,https://www.ad.nl/politiek/d66-europarlementarier-in-t-veld-stort-hoteldeclaraties-terug~a7ea6973/,Almere Stad
99,1556690398,1,https://www.ad.nl/politiek/verzet-tegen-leenstelsel-neemt-toe-asociale-stelsel-moet-van-tafel~a5a47d0f/,Westendorp
100,1556690421,3,https://www.ad.nl/gouda/appende-fietser-meteen-op-de-bon-in-gouda~ae84385c/,Vessem
101,1556690473,3,https://www.ad.nl/auto/naar-de-wasstraat-zo-wordt-je-auto-pas-echt-schoon~a28974fc/,Alkmaar
102,1556690494,4,https://www.ad.nl/binnenland/wijkblad-mag-niet-schrijven-over-azc-volledige-redactie-stapt-op~a1a66f25/,De Rijp
103,1556690494,1,https://www.ad.nl/den-bosch/vrachtwagenchauffeur-veroorzaakt-ongeluk-op-a2-bij-den-bosch-bekijkt-de-schade-en-gaat-er-vandoor~ab35bdf6/,Dinxperlo
104,1556690525,1,https://www.ad.nl/economie/doek-valt-alsnog-voor-coolcat-winkel-gaat-als-webshop-verder~a466e7cf/,Leerdam
105,1556690615,4,https://www.ad.nl/buitenland/tientallen-terroristen-bestormen-kerk-in-burkina-faso-zes-doden~a81a509d/,Mijdrecht
106,1556690971,4,https://www.ad.nl/utrecht/meer-dan-duizend-automobilisten-br-op-a2-op-de-bon-voor-te-hard-rijden~a70b8580/,Goor
107,1556690983,4,https://www.ad.nl/dossier-bekerfinale-willem-ii-ajax/podcast-bekerfinale-ajax-kan-het-niet-maken-om-een-b-elftal-op-te-stellen~a658bd14/,The Hague
108,1556691276,2,https://www.ad.nl/politiek/gemeenten-dreigen-jeugdzorg-en-psychische-hulp-af-te-stoten~ad54ed98/,Eindhoven
109,1556691330,4,https://www.ad.nl/den-haag/twee-verdachten-aangehouden-na-dreigende-situatie-in-bioscoopzaal-bij-film-over-aanslagen~ae961cdb/,Groningen
110,1556691402,4,https://www.ad.nl/binnenland/commandant-militaire-academie-geschorst-om-relaties-met-leerlingen~a71a0564/,The Hague
111,1556691445,3,https://www.ad.nl/tennis/live-bertens-wil-historie-schrijven-finale-in-madrid-begonnen~a9fb5ddc/,Nieuwegein
112,1556691463,1,https://www.ad.nl/buitenland/slachtoffers-brunssummerheide-zijn-vrouw-van-63-en-man-van-68-jaar~a873e0b2/,Dordrecht
113,1556691542,4,https://www.ad.nl/binnenland/tractorbestuurder-beschoten-bij-grens-belgie-schutter-opgepakt-hij-is-zich-rot-geschrokken~a76b8693/,IJzendijke
114,1556691556,4,https://www.ad.nl/politiek/vvd-zet-senator-uit-de-eerste-kamerfractie~a2a15fee/,Campo Grande
115,1556691594,4,https://www.ad.nl/buitenland/vlaamse-julie-vocht-terug-dat-bekocht-ze-met-haar-leven~a7958d74/,Spakenburg
116,1556691614,1,https://www.ad.nl/buitenland/trump-roept-palestijnen-op-geweld-tegen-israel-te-stoppen~aad9aac5/,Annen
117,1556691631,3,https://www.ad.nl/binnenland/ouders-ernstig-zieke-kinderen-verdienen-meer-verlof~a34b07e0/,Venlo
118,1556691823,4,https://www.ad.nl/binnenland/tandarts-spuit-botox-tot-in-de-schaamstreek-en-daar-is-niet-iedereen-blij-mee~aa2cb562/,Amersfoort
119,1556691845,2,https://www.ad.nl/binnenland/haatprediker-legt-zich-neer-bij-inreisverbod-nederland-is-sodom-en-gomorra-geworden~a09b487e/,Zoetermeer
120,1556691973,1,https://www.ad.nl/politiek/gemeenten-dreigen-jeugdzorg-en-psychische-hulp-af-te-stoten~ad54ed98/,Haaren
121,1556692026,4,https://www.ad.nl/binnenland/proef-met-twee-nieuwe-stembiljetten-in-2021~ae474299/,Delft
122,1556692077,1,https://www.ad.nl/binnenland/jongen-17-veroordeeld-voor-aanranding-van-66-jarige-vrouw~a82f0180/,Amsterdam
123,1556692148,4,https://www.ad.nl/show/vlogster-dee-in-tranen-iemand-trok-midden-op-straat-mijn-broek-naar-beneden~af56b694/,Lopburi
124,1556692184,4,https://www.ad.nl/buitenland/brexitpartij-nigel-farage-groter-dan-conservatieven-en-labour-samen~a0377d81/,Leuven
125,1556692225,2,https://www.ad.nl/politiek/inspectie-waarschuwt-te-weinig-mensen-bij-brandweer-en-politie~a8fa2155/,Amersfoort
126,1556692332,1,https://www.ad.nl/rivierenland/agenten-in-gorinchem-uitgemaakt-voor-k-agenten~aa164ca7/,Rotterdam
127,1556692347,1,https://www.ad.nl/giro/dumoulin-kijkt-uit-naar-giro-grote-rondes-zijn-het-ultieme-wielrennen~a060f2f4/,Vught
128,1556692371,4,https://www.ad.nl/den-haag/joodse-joram-35-geduwd-en-geschopt-door-50-jongeren-op-bevrijdingsfestival-ze-noemden-me-kankerjood~a5d3ac6f/,Teteringen
129,1556692417,3,https://www.ad.nl/auto/hoe-haalbaar-is-de-amsterdamse-benzineban-in-2030-zes-vragen-br~a887ecdd/,Hilversum
130,1556692447,1,https://www.ad.nl/show/kon-rtl-echt-niets-beters-bedenken-voor-katja-schuurman~ab96bd1a/,Utrecht
131,1556692454,1,https://www.ad.nl/buitenland/brexitpartij-nigel-farage-groter-dan-conservatieven-en-labour-samen~a0377d81/,Emmen
132,1556692470,3,https://www.ad.nl/buitenland/verdachte-steve-b-bekent-moord-op-julie-23~ae170451/,Zele
133,1556692537,4,https://www.ad.nl/binnenland/basisscholieren-in-arme-wijken-massaal-op-achterstand~a41b70ed/,No City
134,1556692557,4,https://www.ad.nl/show/wielrenbabe-puck-moonen-na-vijf-jaar-weer-vrijgezel~a5165dd5/,Amsterdam
135,1556692576,4,https://www.ad.nl/politiek/verzet-tegen-leenstelsel-neemt-toe-asociale-stelsel-moet-van-tafel~a5a47d0f/,Bleiswijk
136,1556692578,4,https://www.ad.nl/auto/automobilist-rijdt-225-km-u-waar-je-honderd-mag-br~a498583d/,Venlo
137,1556692663,1,https://www.ad.nl/film/huilende-kinderen-zien-horrorfilm-in-plaats-van-pokemon-in-bioscoop-montreal~a0436c4a/,Saint John
138,1556692669,4,https://www.ad.nl/wonen/zaterdag-is-het-internationale-dag-van-het-naakt-tuinieren-laat-je-buren-het-niet-zien~a5ea5bb5/,Alphen aan den Rijn
139,1556692688,1,https://www.ad.nl/binnenland/nieuwe-strategie-rutte-valt-kamergeleerde-baudet-aan~a78873b7/,Veendam
140,1556692747,1,https://www.ad.nl/den-haag/permanente-verhuur-airbnb-zorgt-voor-nog-nijpender-woningtekort-in-den-haag~a3858437/,Utrecht
141,1556692790,2,https://www.ad.nl/royalty/dit-is-waarom-harry-en-meghan-zelf-geen-voogdij-hebben-over-zoontje-archie~aab0c4e8/,Roermond
142,1556692862,4,https://www.ad.nl/buitenland/politie-de-mist-in-bij-terreuroefening-antwerpen-opeens-werd-ik-onder-schot-gehouden~ade8162a/,Amsterdam
143,1556692908,1,https://www.ad.nl/rotterdam/beveiligingssoftware-hoekse-lijn-in-orde-laatste-testfase-metro-van-start~a3f3cecf/,Groningen
144,1556692941,1,https://www.ad.nl/amersfoort/de-leukste-selfies-met-willem-alexander-maxima-en-amalia~a4352ff8/,Dordrecht
145,1556692988,1,https://www.ad.nl/dossier-knvb-beker/honderden-willem-ii-fans-zwaaien-spelersbus-uit-bij-vertrek-naar-rotterdam~aed3314a/,Spijkenisse
146,1556693001,4,https://www.ad.nl/binnenland/we-houden-van-narcisten-en-we-houden-ervan-ze-te-haten~a9607547/,Varik
147,1556693373,1,https://www.ad.nl/buitenland/aruba-sluit-grens-met-venezuela~a1b67b32/,Gorredijk
148,1556693490,1,https://www.ad.nl/show/maik-en-irene-prikken-laatste-vorkje-in-barcelona-en-sylvie-kookt-zelf~a1979d4d/,Pijnacker
149,1556693617,4,https://www.ad.nl/den-haag/flinke-vertraging-op-a4-richting-rotterdam-door-ongeval-enkele-rijbanen-weer-open~ab4e1811/,The Hague
150,1556693617,1,https://www.ad.nl/rotterdam/daarom-kleuren-rotterdamse-iconen-zondag-blauw~a59db60c/,The Hague
151,1556693855,4,https://www.ad.nl/binnenland/fietsers-blij-toch-vier-zondagen-de-afsluitdijk-over~a939095a/,Horst
152,1556693869,3,https://www.ad.nl/rotterdam/man-met-schotwond-aangehouden-bij-ikazia-ziekenhuis~a7f0b0ac/,Dordrecht
153,1556693896,3,https://www.ad.nl/binnenland/nieuwe-strategie-rutte-valt-kamergeleerde-baudet-aan~a78873b7/,Paramaribo
154,1556693918,1,https://www.ad.nl/rotterdam/amper-gemaakte-afspraken-tussen-school-acato-en-gemeente-meteen-van-tafel~a8ecf3e6/,Haamstede
155,1556694013,3,https://www.ad.nl/buitenland/man-33-die-als-baby-werd-achtergelaten-op-vliegveld-vindt-eindelijk-zijn-ouders~aa5a6055/,Rijnsburg
156,1556694015,1,https://www.ad.nl/binnenland/fraude-bij-energieverkoop-mensen-met-schulden-krijgen-contracten-aangesmeerd~ae1d46cb/,Zwijndrecht
157,1556694138,3,https://www.ad.nl/dossier-ajax-spurs/live-vertonghen-raakt-de-lat-in-bloedstollende-slotfase-in-halve-finale-tegen-spurs~a01f69a0/,Assen
158,1556694227,4,https://www.ad.nl/binnenland/dodenherdenking-vught-verstoord-door-allahu-akbar-kreten-waarschijnlijk-vanuit-pi~a09c514fb/,Averbode
159,1556694338,4,https://www.ad.nl/buitenland/nederlands-gezin-overleeft-raketaanval-hamas-ik-ben-niet-bang-alleen-pissig~a546ff0e/,Geleen
160,1556694501,1,https://www.ad.nl/buitenland/man-zet-wagen-te-koop-om-dure-operatie-hond-te-kunnen-betalen-hem-kwijtraken-was-geen-optie~a91c3da7/,Schoten
161,1556694502,1,https://www.ad.nl/binnenland/begin-mei-en-in-limburg-ligt-er-sneeuw-br~a8b614fd/,The Hague
162,1556694505,4,https://www.ad.nl/show/zoontje-van-harry-en-meghan-heeft-eindelijk-een-naam~ab16c99f/,The Hague
163,1556694706,4,https://www.ad.nl/auto/ronaldo-kocht-niet-de-duurste-auto-ter-wereld-maar-wie-dan-wel~a499569a/,Rotterdam
164,1556694774,1,https://www.ad.nl/buitenland/russisch-nepnieuws-moest-wereld-overtuigen-van-schuld-oekraine-bij-mh17-ramp-br~afc61fc5/,Schiedam
165,1556694889,4,https://www.ad.nl/dordrecht/oeps-burgemeester-van-alblasserdam-vergeet-afspraak-ik-sta-8-kuub-tuingrond-te-verwerken~a4c4eb61/,Argostoli
166,1556695040,4,https://www.ad.nl/kampen/brokken-beton-vallen-uit-plafond-van-gloednieuwe-parkeergarage-in-kampen~a702996a/,Vlaardingen
167,1556695070,1,https://www.ad.nl/woerden/cda-wil-veiliger-zebrapad-in-harmelen~a93e59e6/,Amsterdam
168,1556695211,4,https://www.ad.nl/politiek/minister-wil-opheldering-over-rug-afscheidsfeestje-van-70-000-euro~a7ad0867/,Strijen
169,1556695224,3,https://www.ad.nl/rotterdam/scooterbestuurder-rijdt-zonder-rijbewijs-dwars-door-rood~a4bed636/,Zoetermeer
170,1556695386,1,https://www.ad.nl/den-haag/haagse-kok-pierre-wind-experimenteert-met-frikandellen-pestofrikandel-is-de-grote-winnaar~a7b7c639/,Ranchot
171,1556695439,4,https://www.ad.nl/politiek/jorritsma-na-stevig-gesprek-vertrek-duthler-was-onontkoombaar~a16e065f/,Schiedam
172,1556695610,4,https://www.ad.nl/utrecht/fotograaf-sven-laat-utrecht-op-zijn-allermooist-zien~a3078e54/,Almere Stad
173,1556695739,3,https://www.ad.nl/politiek/kamer-staat-nog-niet-te-springen-om-landelijke-aanpak-lachgas~aedbdeec/,Stellendam
174,1556695819,4,https://www.ad.nl/politiek/raadslid-kleine-gemeente-verdient-voortaan-twee-tot-drie-keer-meer~aeb08e89/,Alkmaar
175,1556695878,4,https://www.ad.nl/rotterdam/rotterdam-wil-mantelzorger-helpen-met-steunpunt~aa344e08/,Borne
176,1556696046,1,https://www.ad.nl/show/lil-kleine-blijft-twee-uur-lang-boeien-in-ziggo-dome~a847a279/,Breda
177,1556696106,4,https://www.ad.nl/delft/tram-knalt-op-drie-auto-s-in-delft~aa3eea8c/,Epe
178,1556696127,1,https://www.ad.nl/den-bosch/terreurafdeling-pi-vught-schreeuwde-allahoe-akbar-tijdens-dodenherdenking-aanstichter-in-isoleercel~a052ed74/,Capelle aan den IJssel
179,1556696335,2,https://www.ad.nl/rotterdam/dit-nieuwe-schip-van-havenschool-stc-vaart-op-stroom-en-gas~a63ac125/,Sommelsdijk
180,1556696371,4,https://www.ad.nl/binnenland/dodenherdenking-vught-verstoord-door-allahu-akbar-kreten-waarschijnlijk-vanuit-pi~a09c514fb/,Apeldoorn
181,1556696482,4,https://www.ad.nl/buitenlands-voetbal/bosz-haalt-duits-international-demirbay-naar-leverkusen~ab045270/,Amsterdam
182,1556696726,1,https://www.ad.nl/boxtel/vrees-dat-varkens-moeten-worden-geruimd-na-actie-in-boxtel-dit-mag-nooit-meer-gebeuren~a493cf90/,Amstelveen
183,1556696747,4,https://www.ad.nl/den-haag/paniek-in-bios-tijdens-film-over-aanslagen-mannen-staan-op-en-verspreiden-zich~ae961cdb/,Leidschendam
184,1556696778,3,https://www.ad.nl/nederlands-voetbal/waarom-de-ajax-puzzel-plots-perfect-in-elkaar-valt~af4569be/,Zoetermeer
185,1556696797,1,https://www.ad.nl/buitenland/cameraploeg-aangevallen-op-noordstation-in-brussel~ad295f4b/,Utrecht
